file_paths,targets
../PCB_imgs/all/resize/NG\Dust_2742.bmp.png,Dust_
../PCB_imgs/all/resize/NG\Nick_24.bmp.png,Nick_
../PCB_imgs/all/resize/NG\Nick_2354.bmp.png,Nick_
../PCB_imgs/all/resize/OK\ok (350).bmp.png,OK
../PCB_imgs/all/resize/NG\eemool (177).bmp.png,eemool
../PCB_imgs/all/resize/NG\eemool1 (68).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok_1547.bmp.png,OK
../PCB_imgs/all/resize/NG\Short_2518.bmp.png,Short_
../PCB_imgs/all/resize/NG\Nick_33.bmp.png,Nick_
../PCB_imgs/all/resize/NG\Dust_2679.bmp.png,Dust_
../PCB_imgs/all/resize/OK\ok_913.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_772.bmp.png,OK
../PCB_imgs/all/resize/OK\ok (229).bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_2696.bmp.png,Dust_
../PCB_imgs/all/resize/OK\ok (81).bmp.png,OK
../PCB_imgs/all/resize/OK\ok_280.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_212.bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_2312.bmp.png,Dust_
../PCB_imgs/all/resize/OK\ok_951.bmp.png,OK
../PCB_imgs/all/resize/NG\eemool (253).bmp.png,eemool
../PCB_imgs/all/resize/NG\eemool (164).bmp.png,eemool
../PCB_imgs/all/resize/NG\Nick_2138.bmp.png,Nick_
../PCB_imgs/all/resize/OK\ok (103).bmp.png,OK
../PCB_imgs/all/resize/OK\ok_479.bmp.png,OK
../PCB_imgs/all/resize/OK\ok (268).bmp.png,OK
../PCB_imgs/all/resize/NG\miboo (491).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok (149).bmp.png,OK
../PCB_imgs/all/resize/NG\miboosik (15).bmp.png,miboosik
../PCB_imgs/all/resize/NG\dust (120).bmp.png,dust
../PCB_imgs/all/resize/NG\Dust_2034.bmp.png,Dust_
../PCB_imgs/all/resize/OK\ok_1430.bmp.png,OK
../PCB_imgs/all/resize/NG\miboo (1558).bmp.png,miboo
../PCB_imgs/all/resize/NG\miboo (1717).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok_465.bmp.png,OK
../PCB_imgs/all/resize/NG\eemool (58).bmp.png,eemool
../PCB_imgs/all/resize/NG\nick (40).bmp.png,nick
../PCB_imgs/all/resize/NG\Scratch_2509.bmp.png,Scratch_
../PCB_imgs/all/resize/NG\Short_2519.bmp.png,Short_
../PCB_imgs/all/resize/OK\ok_798.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_655.bmp.png,OK
../PCB_imgs/all/resize/NG\eemool (35).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok_1313.bmp.png,OK
../PCB_imgs/all/resize/NG\eemool (39).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok_13.bmp.png,OK
../PCB_imgs/all/resize/NG\dust (205).bmp.png,dust
../PCB_imgs/all/resize/NG\Dust_Nick_2099.bmp.png,Dust_Nick_
../PCB_imgs/all/resize/NG\eemool1 (23).bmp.png,eemool
../PCB_imgs/all/resize/NG\short (24).bmp.png,short
../PCB_imgs/all/resize/NG\Nick_2466.bmp.png,Nick_
../PCB_imgs/all/resize/NG\eemool (275).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok (435).bmp.png,OK
../PCB_imgs/all/resize/NG\Short_2549.bmp.png,Short_
../PCB_imgs/all/resize/OK\ok_672.bmp.png,OK
../PCB_imgs/all/resize/NG\Short_75.bmp.png,Short_
../PCB_imgs/all/resize/OK\ok_45.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_1270.bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_2653.bmp.png,Dust_
../PCB_imgs/all/resize/NG\Dust_2688.bmp.png,Dust_
../PCB_imgs/all/resize/NG\dust (157).bmp.png,dust
../PCB_imgs/all/resize/NG\eemool (112).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok (339).bmp.png,OK
../PCB_imgs/all/resize/OK\ok_1431.bmp.png,OK
../PCB_imgs/all/resize/NG\eemool (216).bmp.png,eemool
../PCB_imgs/all/resize/NG\dust (85).bmp.png,dust
../PCB_imgs/all/resize/NG\eemool (63).bmp.png,eemool
../PCB_imgs/all/resize/NG\eemool (68).bmp.png,eemool
../PCB_imgs/all/resize/NG\short_2768.bmp.png,short_
../PCB_imgs/all/resize/OK\ok (27).bmp.png,OK
../PCB_imgs/all/resize/NG\Short_2563.bmp.png,Short_
../PCB_imgs/all/resize/NG\eemool (31).bmp.png,eemool
../PCB_imgs/all/resize/NG\LVH (34).bmp.png,LVH
../PCB_imgs/all/resize/NG\Open_1469.bmp.png,Open_
../PCB_imgs/all/resize/NG\miboo (108).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok_963.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_148.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_52.bmp.png,OK
../PCB_imgs/all/resize/NG\short_2764.bmp.png,short_
../PCB_imgs/all/resize/NG\nick (55).bmp.png,nick
../PCB_imgs/all/resize/NG\Dust_Nick_2132.bmp.png,Dust_Nick_
../PCB_imgs/all/resize/NG\eemool1 (32).bmp.png,eemool
../PCB_imgs/all/resize/NG\Dust_2730.bmp.png,Dust_
../PCB_imgs/all/resize/NG\Nick_Dust_2373.bmp.png,Nick_Dust_
../PCB_imgs/all/resize/NG\Nick_2155.bmp.png,Nick_
../PCB_imgs/all/resize/OK\ok_857.bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_Nick_2120.bmp.png,Dust_Nick_
../PCB_imgs/all/resize/OK\ok_196.bmp.png,OK
../PCB_imgs/all/resize/NG\Nick_2455.bmp.png,Nick_
../PCB_imgs/all/resize/NG\Nick_2427.bmp.png,Nick_
../PCB_imgs/all/resize/NG\Nick_2458.bmp.png,Nick_
../PCB_imgs/all/resize/NG\Dust_2032.bmp.png,Dust_
../PCB_imgs/all/resize/OK\ok_1026.bmp.png,OK
../PCB_imgs/all/resize/NG\eemool (42).bmp.png,eemool
../PCB_imgs/all/resize/NG\Short_2521.bmp.png,Short_
../PCB_imgs/all/resize/NG\eemool (13).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok_119.bmp.png,OK
../PCB_imgs/all/resize/OK\ok (101).bmp.png,OK
../PCB_imgs/all/resize/OK\ok (379).bmp.png,OK
../PCB_imgs/all/resize/OK\ok_32.bmp.png,OK
../PCB_imgs/all/resize/NG\nick (87).bmp.png,nick
../PCB_imgs/all/resize/NG\miboo (1405).bmp.png,miboo
../PCB_imgs/all/resize/NG\nick (50).bmp.png,nick
../PCB_imgs/all/resize/NG\eemool (18).bmp.png,eemool
../PCB_imgs/all/resize/NG\Dust_Nick_2074.bmp.png,Dust_Nick_
../PCB_imgs/all/resize/NG\eemool1 (2).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok (72).bmp.png,OK
../PCB_imgs/all/resize/OK\ok (507).bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_Nick_2105.bmp.png,Dust_Nick_
../PCB_imgs/all/resize/NG\Dust_2033.bmp.png,Dust_
../PCB_imgs/all/resize/NG\miboo (1773).bmp.png,miboo
../PCB_imgs/all/resize/NG\miboo (846).bmp.png,miboo
../PCB_imgs/all/resize/NG\nick (44).bmp.png,nick
../PCB_imgs/all/resize/NG\eemool (245).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok_733.bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_1961.bmp.png,Dust_
../PCB_imgs/all/resize/NG\miboo (107).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok (280).bmp.png,OK
../PCB_imgs/all/resize/NG\scratch (2).bmp.png,scratch
../PCB_imgs/all/resize/NG\Short_2214.bmp.png,Short_
../PCB_imgs/all/resize/OK\ok (51).bmp.png,OK
../PCB_imgs/all/resize/OK\ok_1357.bmp.png,OK
../PCB_imgs/all/resize/NG\miboo (807).bmp.png,miboo
../PCB_imgs/all/resize/NG\dust (80).bmp.png,dust
../PCB_imgs/all/resize/OK\ok (433).bmp.png,OK
../PCB_imgs/all/resize/NG\miboo (1841).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok_1031.bmp.png,OK
../PCB_imgs/all/resize/NG\Nick_2423.bmp.png,Nick_
../PCB_imgs/all/resize/NG\Dust_Nick_2082.bmp.png,Dust_Nick_
../PCB_imgs/all/resize/NG\dust (112).bmp.png,dust
../PCB_imgs/all/resize/NG\miboo (723).bmp.png,miboo
../PCB_imgs/all/resize/NG\eemool1 (30).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok_356.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_876.bmp.png,OK
../PCB_imgs/all/resize/OK\ok (54).bmp.png,OK
../PCB_imgs/all/resize/OK\ok (7).bmp.png,OK
../PCB_imgs/all/resize/OK\ok_381.bmp.png,OK
../PCB_imgs/all/resize/NG\eemool1 (7).bmp.png,eemool
../PCB_imgs/all/resize/NG\Dust_12.bmp.png,Dust_
../PCB_imgs/all/resize/NG\nick (94).bmp.png,nick
../PCB_imgs/all/resize/NG\eemool (75).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok (169).bmp.png,OK
../PCB_imgs/all/resize/OK\ok_262.bmp.png,OK
../PCB_imgs/all/resize/NG\dust (36).bmp.png,dust
../PCB_imgs/all/resize/OK\ok_41.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_905.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_847.bmp.png,OK
../PCB_imgs/all/resize/NG\Open_2171.bmp.png,Open_
../PCB_imgs/all/resize/NG\eemool1 (46).bmp.png,eemool
../PCB_imgs/all/resize/NG\eemool1 (18).bmp.png,eemool
../PCB_imgs/all/resize/NG\Short_2238.bmp.png,Short_
../PCB_imgs/all/resize/NG\Nick_28.bmp.png,Nick_
../PCB_imgs/all/resize/NG\miboo (417).bmp.png,miboo
../PCB_imgs/all/resize/NG\eemool (117).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok (480).bmp.png,OK
../PCB_imgs/all/resize/NG\Short_2196.bmp.png,Short_
../PCB_imgs/all/resize/NG\Dust_7.bmp.png,Dust_
../PCB_imgs/all/resize/NG\Short_2252.bmp.png,Short_
../PCB_imgs/all/resize/NG\eemool (193).bmp.png,eemool
../PCB_imgs/all/resize/NG\Dust_2671.bmp.png,Dust_
../PCB_imgs/all/resize/NG\short_2760.bmp.png,short_
../PCB_imgs/all/resize/NG\dust (223).bmp.png,dust
../PCB_imgs/all/resize/OK\ok_698.bmp.png,OK
../PCB_imgs/all/resize/NG\dust (186).bmp.png,dust
../PCB_imgs/all/resize/OK\ok (541).bmp.png,OK
../PCB_imgs/all/resize/NG\milchack (1).bmp.png,milchack
../PCB_imgs/all/resize/NG\Short_73.bmp.png,Short_
../PCB_imgs/all/resize/NG\miboo (19).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok_651.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_164.bmp.png,OK
../PCB_imgs/all/resize/NG\Nick_2451.bmp.png,Nick_
../PCB_imgs/all/resize/NG\Short_2533.bmp.png,Short_
../PCB_imgs/all/resize/OK\ok_427.bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_1964.bmp.png,Dust_
../PCB_imgs/all/resize/OK\ok_275.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_242.bmp.png,OK
../PCB_imgs/all/resize/NG\miboo (717).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok (466).bmp.png,OK
../PCB_imgs/all/resize/NG\dust (28).bmp.png,dust
../PCB_imgs/all/resize/NG\Dust_2650.bmp.png,Dust_
../PCB_imgs/all/resize/NG\short (39).bmp.png,short
../PCB_imgs/all/resize/NG\Short_97.bmp.png,Short_
../PCB_imgs/all/resize/NG\Nick_2745.bmp.png,Nick_
../PCB_imgs/all/resize/NG\Short_2526.bmp.png,Short_
../PCB_imgs/all/resize/NG\miboo (379).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok_211.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_224.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_463.bmp.png,OK
../PCB_imgs/all/resize/NG\lvh (5).bmp.png,lvh
../PCB_imgs/all/resize/NG\Nick_2471.bmp.png,Nick_
../PCB_imgs/all/resize/NG\eemool (77).bmp.png,eemool
../PCB_imgs/all/resize/NG\miboo (947).bmp.png,miboo
../PCB_imgs/all/resize/NG\Short_2201.bmp.png,Short_
../PCB_imgs/all/resize/OK\ok (394).bmp.png,OK
../PCB_imgs/all/resize/NG\Short_2207.bmp.png,Short_
../PCB_imgs/all/resize/OK\ok (437).bmp.png,OK
../PCB_imgs/all/resize/NG\Short_2211.bmp.png,Short_
../PCB_imgs/all/resize/NG\Short_2527.bmp.png,Short_
../PCB_imgs/all/resize/OK\ok (439).bmp.png,OK
../PCB_imgs/all/resize/NG\eemool1 (49).bmp.png,eemool
../PCB_imgs/all/resize/NG\Nick_48.bmp.png,Nick_
../PCB_imgs/all/resize/NG\eemool (224).bmp.png,eemool
../PCB_imgs/all/resize/NG\Nick_2418.bmp.png,Nick_
../PCB_imgs/all/resize/OK\ok_163.bmp.png,OK
../PCB_imgs/all/resize/NG\Open_2493.bmp.png,Open_
../PCB_imgs/all/resize/NG\Dust_Nick_2071.bmp.png,Dust_Nick_
../PCB_imgs/all/resize/OK\ok_153.bmp.png,OK
../PCB_imgs/all/resize/OK\ok (145).bmp.png,OK
../PCB_imgs/all/resize/NG\miboo (1777).bmp.png,miboo
../PCB_imgs/all/resize/NG\dust (92).bmp.png,dust
../PCB_imgs/all/resize/NG\Nick_2337.bmp.png,Nick_
../PCB_imgs/all/resize/OK\ok_1362.bmp.png,OK
../PCB_imgs/all/resize/NG\eemool (120).bmp.png,eemool
../PCB_imgs/all/resize/NG\Nick_2327.bmp.png,Nick_
../PCB_imgs/all/resize/NG\eemool (284).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok_378.bmp.png,OK
../PCB_imgs/all/resize/NG\Open_2491.bmp.png,Open_
../PCB_imgs/all/resize/NG\eemool1 (10).bmp.png,eemool
../PCB_imgs/all/resize/NG\Nick_2469.bmp.png,Nick_
../PCB_imgs/all/resize/NG\eemool (83).bmp.png,eemool
../PCB_imgs/all/resize/NG\eemool (82).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok_490.bmp.png,OK
../PCB_imgs/all/resize/NG\Short_2182.bmp.png,Short_
../PCB_imgs/all/resize/OK\ok_783.bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_2053.bmp.png,Dust_
../PCB_imgs/all/resize/OK\ok_46.bmp.png,OK
../PCB_imgs/all/resize/NG\eemool (247).bmp.png,eemool
../PCB_imgs/all/resize/NG\miboo (1022).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok_800.bmp.png,OK
../PCB_imgs/all/resize/NG\dust (124).bmp.png,dust
../PCB_imgs/all/resize/OK\ok (158).bmp.png,OK
../PCB_imgs/all/resize/NG\open (11).bmp.png,open
../PCB_imgs/all/resize/NG\miboo (1196).bmp.png,miboo
../PCB_imgs/all/resize/NG\miboo (629).bmp.png,miboo
../PCB_imgs/all/resize/NG\nick (10).bmp.png,nick
../PCB_imgs/all/resize/NG\Dust_2044.bmp.png,Dust_
../PCB_imgs/all/resize/NG\Short_67.bmp.png,Short_
../PCB_imgs/all/resize/NG\dust (181).bmp.png,dust
../PCB_imgs/all/resize/NG\miboo (414).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok_1434.bmp.png,OK
../PCB_imgs/all/resize/NG\Open_2485.bmp.png,Open_
../PCB_imgs/all/resize/NG\Dust_2704.bmp.png,Dust_
../PCB_imgs/all/resize/NG\lvh (27).bmp.png,lvh
../PCB_imgs/all/resize/OK\ok_657.bmp.png,OK
../PCB_imgs/all/resize/NG\dust (64).bmp.png,dust
../PCB_imgs/all/resize/NG\Short_2198.bmp.png,Short_
../PCB_imgs/all/resize/NG\eemool (109).bmp.png,eemool
../PCB_imgs/all/resize/NG\scratch (3).bmp.png,scratch
../PCB_imgs/all/resize/NG\nick (91).bmp.png,nick
../PCB_imgs/all/resize/NG\Dust_Nick_2096.bmp.png,Dust_Nick_
../PCB_imgs/all/resize/OK\ok_878.bmp.png,OK
../PCB_imgs/all/resize/OK\ok (422).bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_1968.bmp.png,Dust_
../PCB_imgs/all/resize/OK\ok_201.bmp.png,OK
../PCB_imgs/all/resize/OK\ok (453).bmp.png,OK
../PCB_imgs/all/resize/OK\ok_260.bmp.png,OK
../PCB_imgs/all/resize/NG\Short_62.bmp.png,Short_
../PCB_imgs/all/resize/NG\Dust_2003.bmp.png,Dust_
../PCB_imgs/all/resize/NG\eemool (60).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok_183.bmp.png,OK
../PCB_imgs/all/resize/NG\eemool (249).bmp.png,eemool
../PCB_imgs/all/resize/NG\eemool (36).bmp.png,eemool
../PCB_imgs/all/resize/NG\Nick_Dust_2381.bmp.png,Nick_Dust_
../PCB_imgs/all/resize/NG\Dust_Nick_2093.bmp.png,Dust_Nick_
../PCB_imgs/all/resize/NG\short (26).bmp.png,short
../PCB_imgs/all/resize/NG\Short_86.bmp.png,Short_
../PCB_imgs/all/resize/OK\ok_1065.bmp.png,OK
../PCB_imgs/all/resize/NG\eemool (101).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok_423.bmp.png,OK
../PCB_imgs/all/resize/NG\nick (46).bmp.png,nick
../PCB_imgs/all/resize/OK\ok_1322.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_920.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_702.bmp.png,OK
../PCB_imgs/all/resize/OK\ok (613).bmp.png,OK
../PCB_imgs/all/resize/NG\miboo (747).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok_365.bmp.png,OK
../PCB_imgs/all/resize/NG\eemool (191).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok (267).bmp.png,OK
../PCB_imgs/all/resize/OK\ok (483).bmp.png,OK
../PCB_imgs/all/resize/OK\ok_788.bmp.png,OK
../PCB_imgs/all/resize/NG\Open_2477.bmp.png,Open_
../PCB_imgs/all/resize/NG\eemool1 (45).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok (303).bmp.png,OK
../PCB_imgs/all/resize/NG\eemool1 (1).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok (102).bmp.png,OK
../PCB_imgs/all/resize/OK\ok_696.bmp.png,OK
../PCB_imgs/all/resize/NG\Open_56.bmp.png,Open_
../PCB_imgs/all/resize/OK\ok_123.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_300.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_619.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_394.bmp.png,OK
../PCB_imgs/all/resize/NG\miboo (1673).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok_886.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_131.bmp.png,OK
../PCB_imgs/all/resize/NG\eemool (57).bmp.png,eemool
../PCB_imgs/all/resize/NG\eemool (230).bmp.png,eemool
../PCB_imgs/all/resize/NG\lvh (10).bmp.png,lvh
../PCB_imgs/all/resize/OK\ok_917.bmp.png,OK
../PCB_imgs/all/resize/NG\Nick_46.bmp.png,Nick_
../PCB_imgs/all/resize/NG\Nick_2475.bmp.png,Nick_
../PCB_imgs/all/resize/OK\ok (203).bmp.png,OK
../PCB_imgs/all/resize/NG\dust (198).bmp.png,dust
../PCB_imgs/all/resize/NG\eemool (205).bmp.png,eemool
../PCB_imgs/all/resize/NG\Nick_2140.bmp.png,Nick_
../PCB_imgs/all/resize/NG\Short_2217.bmp.png,Short_
../PCB_imgs/all/resize/NG\nick (37).bmp.png,nick
../PCB_imgs/all/resize/NG\nick (104).bmp.png,nick
../PCB_imgs/all/resize/NG\miboo (247).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok_916.bmp.png,OK
../PCB_imgs/all/resize/NG\eemool (170).bmp.png,eemool
../PCB_imgs/all/resize/NG\miboo (1719).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok (493).bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_2025.bmp.png,Dust_
../PCB_imgs/all/resize/NG\eemool (282).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok (515).bmp.png,OK
../PCB_imgs/all/resize/NG\Open_2482.bmp.png,Open_
../PCB_imgs/all/resize/NG\dust (59).bmp.png,dust
../PCB_imgs/all/resize/NG\nick (72).bmp.png,nick
../PCB_imgs/all/resize/NG\Island_16.bmp.png,Island_
../PCB_imgs/all/resize/NG\dust (50).bmp.png,dust
../PCB_imgs/all/resize/OK\ok_839.bmp.png,OK
../PCB_imgs/all/resize/NG\Short_2555.bmp.png,Short_
../PCB_imgs/all/resize/NG\scratch (5).bmp.png,scratch
../PCB_imgs/all/resize/NG\dust (82).bmp.png,dust
../PCB_imgs/all/resize/NG\Dust_1986.bmp.png,Dust_
../PCB_imgs/all/resize/OK\ok (314).bmp.png,OK
../PCB_imgs/all/resize/OK\ok (526).bmp.png,OK
../PCB_imgs/all/resize/NG\Open_2160.bmp.png,Open_
../PCB_imgs/all/resize/NG\miboo (1770).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok (357).bmp.png,OK
../PCB_imgs/all/resize/NG\miboo (619).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok (47).bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_Nick_2130.bmp.png,Dust_Nick_
../PCB_imgs/all/resize/OK\ok_623.bmp.png,OK
../PCB_imgs/all/resize/NG\eemool (5).bmp.png,eemool
../PCB_imgs/all/resize/NG\lvh (25).bmp.png,lvh
../PCB_imgs/all/resize/OK\ok (391).bmp.png,OK
../PCB_imgs/all/resize/OK\ok_271.bmp.png,OK
../PCB_imgs/all/resize/NG\Short_2557.bmp.png,Short_
../PCB_imgs/all/resize/NG\dust (149).bmp.png,dust
../PCB_imgs/all/resize/NG\Open_2483.bmp.png,Open_
../PCB_imgs/all/resize/NG\eemool (8).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok_165.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_812.bmp.png,OK
../PCB_imgs/all/resize/NG\eemool (61).bmp.png,eemool
../PCB_imgs/all/resize/NG\Dust_Nick_2104.bmp.png,Dust_Nick_
../PCB_imgs/all/resize/OK\ok (345).bmp.png,OK
../PCB_imgs/all/resize/OK\ok_1261.bmp.png,OK
../PCB_imgs/all/resize/NG\miboo (606).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok_462.bmp.png,OK
../PCB_imgs/all/resize/OK\ok (375).bmp.png,OK
../PCB_imgs/all/resize/NG\eemool (103).bmp.png,eemool
../PCB_imgs/all/resize/NG\Dust_2323.bmp.png,Dust_
../PCB_imgs/all/resize/OK\ok_721.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_47.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_555.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_566.bmp.png,OK
../PCB_imgs/all/resize/NG\miboo (1845).bmp.png,miboo
../PCB_imgs/all/resize/NG\eemool (125).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok_1337.bmp.png,OK
../PCB_imgs/all/resize/NG\Nick_Dust_2368.bmp.png,Nick_Dust_
../PCB_imgs/all/resize/NG\lvh (11).bmp.png,lvh
../PCB_imgs/all/resize/OK\ok_114.bmp.png,OK
../PCB_imgs/all/resize/NG\Short_2540.bmp.png,Short_
../PCB_imgs/all/resize/NG\nick (77).bmp.png,nick
../PCB_imgs/all/resize/NG\Scratch_2502.bmp.png,Scratch_
../PCB_imgs/all/resize/NG\dust (106).bmp.png,dust
../PCB_imgs/all/resize/OK\ok_254.bmp.png,OK
../PCB_imgs/all/resize/NG\miboo (1381).bmp.png,miboo
../PCB_imgs/all/resize/NG\miboo (1879).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok (19).bmp.png,OK
../PCB_imgs/all/resize/OK\ok_311.bmp.png,OK
../PCB_imgs/all/resize/NG\miboo (836).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok (28).bmp.png,OK
../PCB_imgs/all/resize/NG\eemool1 (21).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok_720.bmp.png,OK
../PCB_imgs/all/resize/OK\ok (475).bmp.png,OK
../PCB_imgs/all/resize/OK\ok (24).bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_Nick_2086.bmp.png,Dust_Nick_
../PCB_imgs/all/resize/NG\Dust_Nick_2081.bmp.png,Dust_Nick_
../PCB_imgs/all/resize/NG\Dust_2008.bmp.png,Dust_
../PCB_imgs/all/resize/OK\ok_175.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_385.bmp.png,OK
../PCB_imgs/all/resize/OK\ok (59).bmp.png,OK
../PCB_imgs/all/resize/OK\ok (532).bmp.png,OK
../PCB_imgs/all/resize/NG\Short_2192.bmp.png,Short_
../PCB_imgs/all/resize/OK\ok_911.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_663.bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_Nick_2072.bmp.png,Dust_Nick_
../PCB_imgs/all/resize/OK\ok_321.bmp.png,OK
../PCB_imgs/all/resize/NG\miboo (1699).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok_1023.bmp.png,OK
../PCB_imgs/all/resize/NG\Short_2551.bmp.png,Short_
../PCB_imgs/all/resize/OK\ok_133.bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_2678.bmp.png,Dust_
../PCB_imgs/all/resize/OK\ok_909.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_424.bmp.png,OK
../PCB_imgs/all/resize/OK\ok (612).bmp.png,OK
../PCB_imgs/all/resize/NG\nick (101).bmp.png,nick
../PCB_imgs/all/resize/OK\ok_1344.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_166.bmp.png,OK
../PCB_imgs/all/resize/NG\miboo (1216).bmp.png,miboo
../PCB_imgs/all/resize/OK\ok (473).bmp.png,OK
../PCB_imgs/all/resize/NG\dust (15).bmp.png,dust
../PCB_imgs/all/resize/NG\Dust_2651.bmp.png,Dust_
../PCB_imgs/all/resize/NG\eemool1 (51).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok_27.bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_2029.bmp.png,Dust_
../PCB_imgs/all/resize/NG\eemool (87).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok (523).bmp.png,OK
../PCB_imgs/all/resize/OK\ok_244.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_377.bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_Nick_2088.bmp.png,Dust_Nick_
../PCB_imgs/all/resize/OK\ok_82.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_141.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_1496.bmp.png,OK
../PCB_imgs/all/resize/NG\nick (132).bmp.png,nick
../PCB_imgs/all/resize/OK\ok_1202.bmp.png,OK
../PCB_imgs/all/resize/OK\ok_243.bmp.png,OK
../PCB_imgs/all/resize/NG\Dust_Nick_2117.bmp.png,Dust_Nick_
../PCB_imgs/all/resize/NG\Short_2226.bmp.png,Short_
../PCB_imgs/all/resize/OK\ok (438).bmp.png,OK
../PCB_imgs/all/resize/NG\eemool (51).bmp.png,eemool
../PCB_imgs/all/resize/NG\eemool (34).bmp.png,eemool
../PCB_imgs/all/resize/OK\ok_1081.bmp.png,OK
../PCB_imgs/all/resize/NG\miboo (301).bmp.png,miboo
../PCB_imgs/all/resize/NG\Dust_2048.bmp.png,Dust_
../PCB_imgs/all/resize/OK\ok_24.bmp.png,OK
